gene,value
DENND4C,9027
DENND5A,13598
DENND5B,3022
DENND6A,7253
DENND6B,3231
DENR,14290
DEPDC1,2310
DEPDC1B,1855
DEPDC4,166
DEPDC5,3498
DEPDC7,1352
DEPP1,17530
DEPTOR,2626
DERA,5575
DERL1,22091
DERL2,7091
DERL3,15008
DERPC,0
DES,2062
DESI1,8205
DESI2,7273
DET1,230
DEUP1,53
DEXI,4228
DFFA,10921
DFFB,1366
DGAT1,9313
DGAT2,6359
DGAT2L6,0
DGCR2,19244
DGCR6,22
DGCR6L,6277
DGCR8,11063
DGKA,31036
DGKB,47
DGKD,8594
DGKE,3371
DGKG,256
DGKH,4186
DGKI,89
DGKK,0
DGKQ,7906
DGKZ,31293
DGLUCY,9043
DGUOK,7103
DHCR24,51258
DHCR7,6408
DHDDS,8389
DHDH,140
DHFR,6533
DHFR2,1883
DHH,175
DHODH,2255
DHPS,1266
DHRS1,10787
DHRS11,2007
DHRS12,599
DHRS13,5520
DHRS2,52638
DHRS3,21698
DHRS4,3240
DHRS4L2,2500
DHRS7,7898
DHRS7B,2889
DHRS7C,2
DHRS9,4343
DHRSX,3693
DHTKD1,7717
DHX15,27060
DHX16,11460
DHX29,9110
DHX30,17487
DHX32,5852
DHX33,5283
DHX34,9436
DHX35,4146
DHX36,12479
DHX37,8302
DHX38,19681
DHX40,8664
DHX57,3700
DHX58,6359
DHX8,12999
DHX9,37356
DIABLO,441
DIAPH1,44375
DIAPH2,3654
DIAPH3,1448
DICER1,18600
DIDO1,20724
DIMT1,5595
DIO1,67
DIO2,35880
DIO3,98
DIP2A,13018
DIP2B,15233
DIP2C,3040
DIPK1A,2414
DIPK1B,1117
DIPK1C,24
DIPK2A,7950
DIPK2B,3429
DIRAS1,216
DIRAS2,9
DIRAS3,132
DIS3,9199
DIS3L,5186
DIS3L2,5364
DISC1,1565
DISP1,1616
DISP2,101
DISP3,1014
DIXDC1,1476
DKC1,14214
DKK1,135
DKK2,202
DKK3,8018
DKK4,249
DKKL1,70
DLAT,5645
DLC1,2058
DLD,13866
DLEC1,326
DLEU7,117
DLG1,16638
DLG2,1420
DLG3,9556
DLG4,2772
DLG5,19070
DLGAP1,165
DLGAP2,108
DLGAP3,316
DLGAP4,23578
DLGAP5,3902
DLK1,1
DLK2,1354
DLL1,5208
DLL3,92
DLL4,2929
DLST,18995
DLX1,30
DLX2,22
DLX3,1114
DLX4,570
DLX5,1903
DLX6,423
DMAC1,6775
DMAC2,11333
DMAC2L,3394
DMAP1,10654
DMBT1,6
DMBX1,21
DMC1,276
DMD,3155
DMGDH,178
DMKN,46538
DMP1,6
DMPK,9468
DMRT1,18
DMRT2,81
DMRT3,174
DMRTA1,876
DMRTA2,2295
DMRTB1,4
DMRTC1,6
DMRTC1B,11
DMRTC2,4
DMTF1,12148
DMTN,5480
DMWD,7406
DMXL1,11616
DMXL2,6806
DNA2,1911
DNAAF1,478
DNAAF10,1117
DNAAF11,958
DNAAF2,2650
DNAAF3,199
DNAAF4,34
DNAAF5,5538
DNAAF6,7
DNAAF8,140
DNAAF9,5644
DNAH1,6372
DNAH10,54
DNAH11,219
DNAH12,46
DNAH14,616
DNAH17,9747
DNAH2,3089
DNAH3,279
DNAH5,668
DNAH6,152
DNAH7,311
DNAH8,445
DNAH9,70
DNAI1,81
DNAI2,75
DNAI3,96
DNAI4,161
DNAI7,75
DNAJA1,35749
DNAJA2,14314
DNAJA3,11912
DNAJA4,9045
DNAJB1,66117
DNAJB11,7144
DNAJB12,9937
DNAJB13,66
DNAJB14,6757
DNAJB2,12919
DNAJB4,2776
DNAJB5,2413
DNAJB6,26846
DNAJB7,7
DNAJB8,0
DNAJB9,6632
DNAJC1,5809
DNAJC10,18163
DNAJC11,12270
DNAJC12,42
DNAJC13,14247
DNAJC14,5685
DNAJC15,5142
DNAJC16,4584
DNAJC17,3134
DNAJC18,1188
DNAJC19,4288
DNAJC2,5965
DNAJC21,9584
DNAJC22,107
DNAJC24,3288
DNAJC25,1690
DNAJC25-GNG10,3
DNAJC27,1164
DNAJC28,306
DNAJC3,11327
DNAJC30,2989
DNAJC4,5900
DNAJC5,33150
DNAJC5B,423
DNAJC5G,1
DNAJC6,149
DNAJC7,19012
DNAJC8,16622
DNAJC9,9441
DNAL1,2709
DNAL4,2371
DNALI1,220
DNASE1,3817
DNASE1L1,5502
DNASE1L2,854
DNASE1L3,4635
DNASE2,13200
DNASE2B,36
DND1,291
DNER,78
DNHD1,4057
DNLZ,101
DNM1,2140
DNM1L,11725
DNM2,45960
DNM3,632
DNMBP,4007
DNMT1,28812
DNMT3A,6923
DNMT3B,1227
DNMT3L,0
DNPEP,10715
DNPH1,5795
DNTT,7
DNTTIP1,5735
DNTTIP2,8325
DOC2A,58
DOC2B,53863
DOCK1,8982
DOCK10,12987
DOCK11,6190
DOCK2,17583
DOCK3,1317
DOCK4,6113
DOCK5,3970
DOCK6,8878
DOCK7,6706
DOCK8,21160
DOCK9,23067
DOHH,4361
DOK1,3572
DOK2,6214
DOK3,9078
DOK4,4314
DOK5,184
DOK6,69
DOK7,266
DOLK,3043
DOLPP1,4684
DONSON,2695
DOP1A,6354
DOP1B,9658
DOT1L,17047
DPAGT1,5011
DPCD,1651
DPEP1,142
DPEP2,1298
DPEP2NB,0
DPEP3,64
DPF1,33
DPF2,10399
DPF3,352
DPH1,4907
DPH2,5948
DPH3,3881
DPH5,2546
DPH6,1402
DPH7,6095
DPM1,6961
DPM2,6596
DPM3,1727
DPP10,0
DPP3,8908
DPP4,1994
DPP6,6
DPP7,23109
DPP8,9120
DPP9,16063
DPPA2,0
DPPA3,0
DPPA4,20
DPPA5,0
DPRX,5
DPT,3015
DPY19L1,5002
DPY19L2,403
DPY19L3,4395
DPY19L4,7446
DPY30,3988
DPYD,6650
DPYS,32
DPYSL2,15153
DPYSL3,13586
DPYSL4,185
DPYSL5,7
DQX1,1312
DR1,9386
DRAM1,8471
DRAM2,8756
DRAP1,21940
DRAXIN,91
DRC1,8
DRC3,520
DRC7,19
DRD1,118
DRD2,7
DRD3,65
DRD4,124
DRD5,1
DRG1,7889
DRG2,8971
DRGX,258
DRICH1,98
DROSHA,12631
DRP2,149
DSC1,78
DSC2,85124
DSC3,85973
DSCAM,3
DSCAML1,99
DSCC1,1292
DSE,5869
DSEL,1033
DSG1,11784
DSG2,32967
DSG3,142977
DSG4,0
DSN1,7692
DSP,467721
DSPP,0
DST,35053
DSTN,40840
DSTYK,5648
DTD1,2505
DTD2,1802
DTHD1,1666
DTL,1747
DTNA,421
DTNB,2284
DTNBP1,3167
DTWD1,2817
DTWD2,2642
DTX1,3896
DTX2,11125
DTX3,3260
DTX3L,21347
DTX4,5740
DTYMK,4362
DUOX1,24053
DUOX2,13173
DUOXA1,11890
DUOXA2,1728
DUS1L,19543
DUS2,2447
DUS3L,5721
DUS4L,570
DUS4L-BCAP29,952
DUSP1,114436
DUSP10,2720
DUSP11,5874
DUSP12,2273
DUSP13,155
DUSP14,5650
DUSP15,148
DUSP16,10811
DUSP18,1911
DUSP19,274
DUSP2,6569
DUSP21,0
DUSP22,10266
DUSP23,4381
DUSP26,195
DUSP28,1100
DUSP29,13
DUSP3,11845
DUSP4,7735
DUSP5,16062
DUSP6,11020
DUSP7,16568
DUSP8,861
DUSP9,74
DUT,16378
DUX4,0
DUXA,0
DUXB,0
DVL1,13466
DVL2,10491
DVL3,20507
DXO,2743
DYDC1,3
DYDC2,19
DYM,7516
DYNAP,1140
DYNC1H1,72285
DYNC1I1,174
DYNC1I2,18397
DYNC1LI1,7298
DYNC1LI2,19494
DYNC2H1,1743
DYNC2I1,3632
DYNC2I2,10679
DYNC2LI1,1400
DYNLL1,42008
DYNLL2,25149
DYNLRB1,1513
DYNLRB2,89
DYNLT1,12388
DYNLT2,386
DYNLT2B,198
DYNLT3,7224
DYNLT4,16
DYNLT5,103
DYRK1A,16572
DYRK1B,7755
DYRK2,9650
DYRK3,3338
DYRK4,1828
DYSF,5111
DYTN,0
DZANK1,870
DZIP1,1810
DZIP1L,768
DZIP3,3678
E2F1,5860
E2F2,2921
E2F3,4928
E2F4,12223
E2F5,1987
E2F6,1964
E2F7,2100
E2F8,2029
E4F1,9285
EAF1,7868
EAF2,1550
EAPP,6977
EARS2,6681
EBAG9,4794
EBF1,1848
EBF2,132
EBF3,847
EBF4,1925
EBI3,1285
EBLN1,1
EBLN2,183
EBNA1BP2,10738
EBP,2102
EBPL,2599
ECD,6837
ECE1,77595
ECE2,2
ECEL1,373
ECH1,8812
ECHDC1,6702
ECHDC2,16895
ECHDC3,1374
ECHS1,16960
ECI1,8032
ECI2,5125
ECM1,65562
ECM2,1079
ECPAS,26787
ECRG4,183
ECSCR,190
ECSIT,5835
ECT2,5351
ECT2L,23
EDA,537
EDA2R,248
EDAR,766
EDARADD,4424
EDC3,7174
EDC4,8533
EDDM13,318
EDDM3A,0
EDDM3B,1
EDEM1,18682
EDEM2,6544
EDEM3,7599
EDF1,48306
EDIL3,614
EDN1,2131
EDN2,484
EDN3,791
EDNRA,2112
EDNRB,1599
EDRF1,5696
EEA1,7610
EED,4849
EEF1A1,1078311
EEF1A2,970
EEF1AKMT1,622
EEF1AKMT2,777
EEF1AKMT3,1291
EEF1AKMT4,427
EEF1AKMT4-ECE2,0
EEF1B2,55226
EEF1D,84750
EEF1E1,767
EEF1E1-BLOC1S5,0
EEF1G,0
EEF2,394362
EEF2K,13105
EEF2KMT,2248
EEFSEC,4187
EEPD1,1261
EFCAB1,210
EFCAB10,10
EFCAB11,1112
EFCAB12,219
EFCAB13,496
EFCAB14,26459
EFCAB2,1303
EFCAB3,1
EFCAB5,58
EFCAB6,208
EFCAB7,1491
EFCAB8,104
EFCAB9,0
EFCC1,382
EFEMP1,16233
EFEMP2,3857
EFHB,180
EFHC1,2442
EFHC2,361
EFHD1,691
EFHD2,34986
EFL1,5288
EFNA1,7193
EFNA2,165
EFNA3,1259
EFNA4,1766
EFNA5,3247
EFNB1,17542
EFNB2,6214
EFNB3,229
EFR3A,18963
EFR3B,153
EFS,14199
EFTUD2,21560
EGF,113
EGFL6,1001
EGFL7,4908
EGFL8,286
EGFLAM,2951
EGFR,36437
EGLN1,1506
EGLN2,2451
EGLN3,15470
EGR1,86858
EGR2,6900
EGR3,6408
EGR4,125
EHBP1,9675
EHBP1L1,38823
EHD1,23063
EHD2,13001
EHD3,10409
EHD4,11944
EHF,78688
EHHADH,2549
EHMT1,27154
EHMT2,13237
EI24,14807
EID1,17528
EID2,3260
EID2B,414
EID3,534
EIF1,110102
EIF1AD,5628
EIF1AX,11499
EIF1AY,5230
EIF1B,6223
EIF2A,13986
EIF2AK1,23827
EIF2AK2,14019
EIF2AK3,8005
EIF2AK4,8899
EIF2B1,11324
EIF2B2,5789
EIF2B3,3373
EIF2B4,7062
EIF2B5,13808
EIF2D,8848
EIF2S1,15354
EIF2S2,27312
EIF2S3,30576
EIF2S3B,439
EIF3A,57352
EIF3B,33649
EIF3C,6552
EIF3CL,3097
EIF3D,33736
EIF3E,51253
EIF3F,33085
EIF3G,27378
EIF3H,40259
EIF3I,28109
EIF3J,13233
EIF3K,25742
EIF3L,19953
EIF3M,19738
EIF4A1,1425
EIF4A2,55922
EIF4A3,20532
EIF4B,79461
EIF4E,9564
EIF4E1B,1
EIF4E2,13420
EIF4E3,3437
EIF4EBP1,9918
EIF4EBP2,25900
EIF4EBP3,227
EIF4ENIF1,6262
EIF4G1,100927
EIF4G2,165995
EIF4G3,14057
EIF4H,63272
EIF5,39704
EIF5A,82374
EIF5A2,630
EIF5AL1,1486
EIF5B,25927
EIF6,19927
EIPR1,3982
ELAC1,1220
ELAC2,16330
ELANE,90
ELAPOR1,2122
ELAPOR2,2651
ELAVL1,13936
ELAVL2,189
ELAVL3,18
ELAVL4,85
ELF1,16086
ELF2,7433
ELF3,24138
ELF4,10799
ELF5,511
ELFN1,174
ELFN2,73
ELK1,7063
ELK3,14295
ELK4,15742
ELL,7203
ELL2,23277
ELL3,79
ELMO1,5404
ELMO2,10021
ELMO3,3673
ELMOD1,6
ELMOD2,5734
ELMOD3,4430
ELN,3623
ELOA,11848
ELOA2,1
ELOA3CP,0
ELOB,18965
ELOC,11085
ELOF1,8563
ELOVL1,18755
ELOVL2,361
ELOVL3,112
ELOVL4,1192
ELOVL5,12924
ELOVL6,3610
ELOVL7,1813
ELP1,12733
ELP2,13152
ELP3,7426
ELP4,2924
ELP5,6062
ELP6,3855
ELSPBP1,0
EMB,11266
EMC1,13012
EMC10,34478
EMC2,8112
EMC3,11218
EMC4,10642
EMC6,4345
EMC7,8231
EMC8,4238
EMC9,1287
EMCN,1753
EMD,10743
EME1,1242
EME2,8059
EMG1,7129
EMID1,861
EMILIN1,9229
EMILIN2,6407
EMILIN3,378
EML1,1357
EML2,12682
EML3,22109
EML4,23556
EML5,2214
EML6,828
EMP1,236260
EMP2,49312
EMP3,9101
EMSY,4392
EMX1,9
EMX2,78
EN1,914
EN2,377
ENAH,8464
ENAM,1
ENC1,5033
ENDOD1,8260
ENDOG,1735
ENDOU,6852
ENDOV,2362
ENG,19766
ENGASE,8975
ENHO,124
ENKD1,1950
ENKUR,106
ENO1,259559
ENO2,7310
ENO3,2048
ENO4,87
ENOPH1,6982
ENOSF1,12861
ENOX1,269
ENOX2,3387
ENPEP,329
ENPP1,989
ENPP2,11437
ENPP3,201
ENPP4,3492
ENPP5,1056
ENPP6,184
ENPP7,19
ENSA,35296
ENSG00000100101,0
ENSG00000111780,0
ENSG00000124593,652
ENSG00000125695,0
ENSG00000131152,0
ENSG00000141979,0
ENSG00000142539,0
ENSG00000144785,0
ENSG00000159239,3
ENSG00000167774,7
ENSG00000167807,5
ENSG00000170846,3996
ENSG00000173366,0
ENSG00000173867,0
ENSG00000183889,235
ENSG00000187186,21
ENSG00000188223,0
ENSG00000188897,460
ENSG00000196826,0
ENSG00000197991,0
ENSG00000198211,0
ENSG00000203546,57
ENSG00000204003,0
ENSG00000204422,0
ENSG00000205236,17
ENSG00000206549,0
ENSG00000213204,37
ENSG00000214265,0
ENSG00000225528,85
ENSG00000226490,0
ENSG00000226690,9
ENSG00000227717,0
ENSG00000228144,0
ENSG00000230626,310
ENSG00000230707,2
ENSG00000233757,177
ENSG00000235007,0
ENSG00000236543,0
ENSG00000237378,1
ENSG00000237850,1
ENSG00000239395,0
ENSG00000239920,26
ENSG00000241489,466
ENSG00000241690,0
ENSG00000241962,59
ENSG00000243501,0
ENSG00000243696,305
ENSG00000244255,0
ENSG00000248235,0
ENSG00000248710,2
ENSG00000248751,2
ENSG00000248993,0
ENSG00000249141,0
ENSG00000249209,5
ENSG00000249240,0
ENSG00000249319,0
ENSG00000249590,0
ENSG00000249624,89
ENSG00000249773,14
ENSG00000249967,0
ENSG00000250264,0
ENSG00000250349,0
ENSG00000250424,0
ENSG00000250644,77
ENSG00000250803,7
ENSG00000251012,0
ENSG00000251184,0
ENSG00000251246,0
ENSG00000251357,0
ENSG00000251537,123
ENSG00000251569,0
ENSG00000254469,536
ENSG00000254536,311
ENSG00000254553,0
ENSG00000254673,0
ENSG00000254692,0
ENSG00000254706,0
ENSG00000254732,76
ENSG00000254979,8
ENSG00000255054,0
ENSG00000255292,0
ENSG00000255330,0
ENSG00000255339,0
ENSG00000255432,0
ENSG00000255439,0
ENSG00000255508,125
ENSG00000255639,6
ENSG00000255641,0
ENSG00000255663,12
ENSG00000255730,0
ENSG00000255835,0
ENSG00000255872,2
ENSG00000256029,382
ENSG00000256100,0
ENSG00000256206,0
ENSG00000256349,0
ENSG00000256407,2
ENSG00000256500,0
ENSG00000256514,0
ENSG00000256566,0
ENSG00000256591,169
ENSG00000256646,7
ENSG00000256825,0
ENSG00000256861,0
ENSG00000256950,17
ENSG00000256966,0
ENSG00000257062,0
ENSG00000257065,2
ENSG00000257184,0
ENSG00000257207,6
ENSG00000257341,13
ENSG00000257355,0
ENSG00000257390,19
ENSG00000257411,0
ENSG00000257524,118
ENSG00000257767,0
ENSG00000257921,0
ENSG00000258052,0
ENSG00000258064,0
ENSG00000258311,262
ENSG00000258417,0
ENSG00000258461,69
ENSG00000258465,1
ENSG00000258466,3
ENSG00000258472,29
ENSG00000258529,0
ENSG00000258539,139
ENSG00000258653,4
ENSG00000258674,44
ENSG00000258677,0
ENSG00000258691,0
ENSG00000258728,668
ENSG00000258790,19
ENSG00000258830,0
ENSG00000258864,0
ENSG00000258881,0
ENSG00000258989,0
ENSG00000259060,0
ENSG00000259066,6
ENSG00000259132,0
ENSG00000259164,0
ENSG00000259171,0
ENSG00000259316,10
ENSG00000259371,0
ENSG00000259522,5
ENSG00000259529,94
ENSG00000259753,0
ENSG00000259784,0
ENSG00000259900,0
ENSG00000259916,0
ENSG00000260007,182
ENSG00000260092,0
ENSG00000260170,0
ENSG00000260234,0
ENSG00000260272,0
ENSG00000260342,0
ENSG00000260371,0
ENSG00000260537,0
ENSG00000260643,60
ENSG00000260729,84
ENSG00000260836,0
ENSG00000260851,12
ENSG00000260861,1
ENSG00000260914,0
ENSG00000261130,1
ENSG00000261147,2
ENSG00000261341,31
ENSG00000261459,0
ENSG00000261582,96
ENSG00000261611,17
ENSG00000261717,0
ENSG00000261732,82
ENSG00000261793,0
ENSG00000261832,1
ENSG00000261884,649
ENSG00000261915,0
ENSG00000262302,0
ENSG00000262304,1
ENSG00000262526,0
ENSG00000262560,0
ENSG00000262633,0
ENSG00000262660,0
ENSG00000262730,0
ENSG00000263020,0
ENSG00000263620,0
ENSG00000263809,0
ENSG00000264058,1
ENSG00000264187,8
ENSG00000264324,15
ENSG00000264545,0
ENSG00000264668,0
ENSG00000264813,0
ENSG00000265118,1
ENSG00000265303,0
ENSG00000265690,1
ENSG00000266076,2
ENSG00000266086,0
ENSG00000266202,2
ENSG00000266302,182
ENSG00000266728,0
ENSG00000266953,0
ENSG00000266997,0
ENSG00000267001,0
ENSG00000267022,0
ENSG00000267059,0
ENSG00000267110,0
ENSG00000267120,0
ENSG00000267127,17
ENSG00000267140,0
ENSG00000267157,0
ENSG00000267168,0
ENSG00000267173,0
ENSG00000267179,1
ENSG00000267228,0
ENSG00000267261,0
ENSG00000267303,0
ENSG00000267314,0
ENSG00000267318,0
ENSG00000267335,0
ENSG00000267360,0
ENSG00000267385,23
ENSG00000267426,17
ENSG00000267477,0
ENSG00000267552,3
ENSG00000267561,0
ENSG00000267618,0
ENSG00000267645,0
ENSG00000267699,0
ENSG00000267706,5
ENSG00000267740,0
ENSG00000267748,0
ENSG00000267881,0
ENSG00000267952,0
ENSG00000268083,0
ENSG00000268107,0
ENSG00000268133,0
ENSG00000268163,1
ENSG00000268173,11
ENSG00000268193,0
ENSG00000268279,152
ENSG00000268361,0
ENSG00000268400,0
ENSG00000268434,0
ENSG00000268465,0
ENSG00000268533,26
ENSG00000268614,0
ENSG00000268643,0
ENSG00000268655,57
ENSG00000268674,0
ENSG00000268750,0
ENSG00000268790,3
ENSG00000268797,0
ENSG00000268870,0
ENSG00000269026,0
ENSG00000269035,0
ENSG00000269095,0
ENSG00000269179,0
ENSG00000269237,0
ENSG00000269242,4
ENSG00000269307,0
ENSG00000269403,14
ENSG00000269469,0
ENSG00000269476,0
ENSG00000269533,34
ENSG00000269547,0
ENSG00000269590,0
ENSG00000269693,0
ENSG00000269711,0
ENSG00000269741,0
ENSG00000269755,4
ENSG00000269825,328
ENSG00000270099,0
ENSG00000270149,15
ENSG00000270249,0
ENSG00000270299,0
ENSG00000271254,0
ENSG00000271698,33
ENSG00000271741,0
ENSG00000271793,0
ENSG00000271810,2
ENSG00000271949,0
ENSG00000272104,0
ENSG00000272162,0
ENSG00000272297,0
ENSG00000272305,62
ENSG00000272410,0
ENSG00000272442,0
ENSG00000272617,0
ENSG00000272647,0
ENSG00000272741,0
ENSG00000272772,0
ENSG00000272822,0
ENSG00000272896,0
ENSG00000272897,0
ENSG00000272916,50
ENSG00000272921,0
ENSG00000273025,0
ENSG00000273047,0
ENSG00000273049,0
ENSG00000273088,0
ENSG00000273154,0
ENSG00000273155,0
ENSG00000273167,0
ENSG00000273171,0
ENSG00000273217,0
ENSG00000273259,10
ENSG00000273269,0
ENSG00000273291,0
ENSG00000273398,6
ENSG00000273554,0
ENSG00000273734,0
ENSG00000273748,0
ENSG00000273756,1
ENSG00000274175,0
ENSG00000274322,112
ENSG00000274559,52
ENSG00000274792,0
ENSG00000274944,2
ENSG00000275063,0
ENSG00000275163,0
ENSG00000275249,0
ENSG00000275464,2163
ENSG00000275674,0
ENSG00000275740,0
ENSG00000275778,0
ENSG00000275869,0
ENSG00000276017,0
ENSG00000276087,7
ENSG00000276256,0
ENSG00000276302,18
ENSG00000276345,0
ENSG00000276418,0
ENSG00000276490,0
ENSG00000276612,0
ENSG00000276760,0
ENSG00000277117,479
ENSG00000277196,0
ENSG00000277400,0
ENSG00000277475,0
ENSG00000277535,1
ENSG00000277611,0
ENSG00000277630,0
ENSG00000277639,1321
ENSG00000277758,238
ENSG00000277836,0
ENSG00000277856,0
ENSG00000277971,0
ENSG00000278384,0
ENSG00000278633,0
ENSG00000278646,0
ENSG00000278704,0
ENSG00000278817,0
ENSG00000279073,20
ENSG00000279493,0
ENSG00000279686,0
ENSG00000279765,130
ENSG00000279956,0
ENSG00000279983,0
ENSG00000280148,0
ENSG00000280433,952
ENSG00000280537,55
ENSG00000280571,0
ENSG00000280778,0
ENSG00000280893,0
ENSG00000281039,0
ENSG00000281348,0
ENSG00000281593,18
ENSG00000281613,0
ENSG00000281883,1
ENSG00000281938,0
ENSG00000282034,0
ENSG00000282218,0
ENSG00000282246,0
ENSG00000282278,0
ENSG00000282804,0
ENSG00000282936,401
ENSG00000282988,111
ENSG00000283128,26
ENSG00000283149,0
ENSG00000283189,0
ENSG00000283201,0
ENSG00000283205,0
ENSG00000283208,6
ENSG00000283228,0
ENSG00000283321,0
ENSG00000283515,1
ENSG00000283536,1
ENSG00000283563,1
ENSG00000283580,0
ENSG00000283599,266
ENSG00000283663,0
ENSG00000283761,41
ENSG00000283765,1
ENSG00000283782,0
ENSG00000283809,0
ENSG00000283877,0
ENSG00000283886,5
ENSG00000283952,0
ENSG00000283977,0
ENSG00000284024,3874
ENSG00000284057,0
ENSG00000284188,8
ENSG00000284292,2
ENSG00000284299,101
ENSG00000284337,4
ENSG00000284341,0
ENSG00000284393,0
ENSG00000284431,4
ENSG00000284461,1
ENSG00000284484,0
ENSG00000284512,18
ENSG00000284526,1093
ENSG00000284554,0
ENSG00000284626,3
ENSG00000284638,33
ENSG00000284684,0
ENSG00000284686,11
ENSG00000284691,2245
ENSG00000284695,24
ENSG00000284732,0
ENSG00000284762,0
ENSG00000284772,0
ENSG00000284773,250
ENSG00000284776,0
ENSG00000284779,2
ENSG00000284797,10
ENSG00000284800,0
ENSG00000284820,12
ENSG00000284874,124
ENSG00000284895,0
ENSG00000284906,16
ENSG00000284931,0
ENSG00000284934,2
ENSG00000284946,352
ENSG00000284952,1
ENSG00000284956,0
ENSG00000284969,35
ENSG00000284976,0
ENSG00000284987,7
ENSG00000284989,0
ENSG00000285000,0
ENSG00000285025,0
ENSG00000285043,160
ENSG00000285064,0
ENSG00000285082,2
ENSG00000285085,6
ENSG00000285130,42
ENSG00000285133,0
ENSG00000285162,0
ENSG00000285171,0
ENSG00000285188,6
ENSG00000285218,0
ENSG00000285238,0
ENSG00000285245,0
ENSG00000285253,0
ENSG00000285269,7
ENSG00000285283,0
ENSG00000285304,0
ENSG00000285329,91
ENSG00000285330,0
ENSG00000285382,1
ENSG00000285404,0
ENSG00000285444,12
ENSG00000285446,0
ENSG00000285458,36
ENSG00000285471,5
ENSG00000285472,0
ENSG00000285476,57
ENSG00000285505,0
ENSG00000285526,0
ENSG00000285528,0
ENSG00000285542,0
ENSG00000285547,0
ENSG00000285558,0
ENSG00000285566,0
ENSG00000285585,0
ENSG00000285589,1348
ENSG00000285602,9
ENSG00000285625,0
ENSG00000285629,2
ENSG00000285635,0
ENSG00000285641,75
ENSG00000285645,0
ENSG00000285655,0
ENSG00000285708,0
ENSG00000285713,0
ENSG00000285733,1
ENSG00000285749,1
ENSG00000285762,0
ENSG00000285772,1
ENSG00000285777,1
ENSG00000285779,0
ENSG00000285791,21
ENSG00000285816,16
ENSG00000285827,2
ENSG00000285837,2
ENSG00000285839,0
ENSG00000285854,0
ENSG00000285868,15
ENSG00000285880,0
ENSG00000285897,20
ENSG00000285901,0
ENSG00000285920,0
ENSG00000285932,0
ENSG00000285938,14
ENSG00000285942,0
ENSG00000285943,68
ENSG00000285946,0
ENSG00000285947,0
ENSG00000285953,0
ENSG00000285976,7
ENSG00000285978,0
ENSG00000285982,0
ENSG00000285991,32
ENSG00000286001,46
ENSG00000286007,0
ENSG00000286015,67
ENSG00000286022,6
ENSG00000286070,6
ENSG00000286075,0
ENSG00000286088,0
ENSG00000286098,0
ENSG00000286105,0
ENSG00000286112,29
ENSG00000286131,0
ENSG00000286132,20
ENSG00000286135,24
ENSG00000286143,0
ENSG00000286165,0
ENSG00000286185,0
ENSG00000286190,1161
ENSG00000286192,2
ENSG00000286221,0
ENSG00000286224,4
ENSG00000286231,0
ENSG00000286235,0
ENSG00000286239,0
ENSG00000286264,243
ENSG00000286268,8
ENSG00000286905,14
ENSG00000287542,0
ENSG00000287585,0
ENSG00000287694,0
ENSG00000287725,0
ENSG00000287856,0
ENSG00000287908,0
ENSG00000288000,0
ENSG00000288053,0
ENSG00000288208,0
ENSG00000288258,0
ENSG00000288520,0
ENSG00000288529,0
ENSG00000288534,1
ENSG00000288550,0
ENSG00000288564,0
ENSG00000288570,0
ENSG00000288591,0
ENSG00000288607,0
ENSG00000288608,0
ENSG00000288614,0
ENSG00000288616,0
ENSG00000288623,0
ENSG00000288625,0
ENSG00000288626,0
ENSG00000288629,0
ENSG00000288631,0
ENSG00000288634,0
ENSG00000288635,0
ENSG00000288636,0
ENSG00000288637,11
ENSG00000288640,0
ENSG00000288643,0
ENSG00000288644,0
ENSG00000288645,0
ENSG00000288646,0
ENSG00000288654,0
ENSG00000288656,1
ENSG00000288658,89
ENSG00000288661,0
ENSG00000288669,0
ENSG00000288671,0
ENSG00000288674,33
ENSG00000288675,87
ENSG00000288678,0
ENSG00000288681,0
ENSG00000288683,0
ENSG00000288684,0
ENSG00000288695,15
ENSG00000288698,2
ENSG00000288699,0
ENSG00000288706,0
ENSG00000288708,0
ENSG00000288710,20
ENSG00000288711,0
ENSG00000288712,0
ENSG00000288715,0
ENSG00000288716,0
ENSG00000288721,57
ENSG00000288725,0
ENSG00000288796,0
ENSG00000288841,0
ENSG00000288894,2
ENSG00000288914,0
ENSG00000289025,0
ENSG00000289027,7
ENSG00000289051,0
ENSG00000289258,0
ENSG00000289281,1
ENSG00000289282,0
ENSG00000289325,0
ENSG00000289346,0
ENSG00000289360,0
ENSG00000289490,0
ENSG00000289491,0
ENSG00000289503,0
ENSG00000289517,2
ENSG00000289565,0
ENTHD1,191
ENTPD1,10333
ENTPD2,593
ENTPD3,2683
ENTPD4,18644
ENTPD5,4745
ENTPD6,11387
ENTPD7,3027
ENTPD8,8
ENTR1,8836
ENY2,12875
EOGT,6248
EOLA1,3188
EOLA2,5100
EOMES,3980
EP300,21575
EP400,20572
EPAS1,45803
EPB41,17940
EPB41L1,17077
EPB41L2,8562
EPB41L3,6879
EPB41L4A,3968
EPB41L4B,1588
EPB41L5,4500
EPB42,0
EPC1,8307
EPC2,5986
EPCAM,1585
EPDR1,687
EPG5,11293
EPGN,4234
EPHA1,13929
EPHA10,762
EPHA2,29069
EPHA3,1491
EPHA4,4389
EPHA5,10
EPHA6,130
EPHA7,1175
EPHA8,7
EPHB1,1322
EPHB2,1778
EPHB3,6174
EPHB4,15040
EPHB6,7844
EPHX1,18262
